Fecha;Artículo;Descripción;Cnt.;Importe
03/06/2025;9786076996461;CIELO RASO;1;16,50
03/06/2025;9788412492309;259 SALTOS, UNO INMORTAL;1;15,90
03/06/2025;9788411209786;POLICAN.11 VEINTE MIL PULGAS DE VIAJE1SU;1;12,50
03/06/2025;9788419102195;POLICAN.10 MADRES BORRASCOSAS;1;14,50
04/06/2025;9788423352883;LAS MIL Y UNA NOCHES;1;12,95
04/06/2025;9788420426402;OLVIDO QUE SEREMOS, EL;1;19,90
04/06/2025;9788493977214;MAS ESPAÑOL QUE AMERICANO;1;23,00
04/06/2025;9788498950052;EL ARTE DE NARRAR;1;14,00
04/06/2025;9788498957440;DIARIO DE UNA RESURRECCIÓN;1;14,00
04/06/2025;9788401036798;ESPERANZA. LA AUTOBIOGRAFÍA;1;23,90
06/06/2025;9788412591170;COMO BESTIAS 3ª ED;1;16,95
06/06/2025;9788439745297;LOCO DE DIOS EN EL FIN DEL MUNDO. EL;1;23,90
07/06/2025;9788412850185;ELOGIO DE LA DESOBEDIENCIA;1;22,90
07/06/2025;9788423366880;EL SECRETO DE MARCIAL (PREMIO NADAL12025);1;21,90
07/06/2025;9788439728405;VIVIR PARA CONTARLA;1;21,90
07/06/2025;9788401035241;MI NOMBRE ES EMILIA DEL VALLE;1;22,90
07/06/2025;9788410208285;LADRON DE FLORES, EL;1;16,95
07/06/2025;9788414340561;LOS UNICORNIOS(LEER A OS;1;16,95
07/06/2025;9788419475305;¡UN BESO DE BUENAS NOCHES!;1;14,90
07/06/2025;9788413921884;TRAS LA HUELLA DE LOS DINOSAURIOS;1;20,95
07/06/2025;9788418609640;EL LADRÓN DE NIEVE;1;16,95
07/06/2025;9788408186625;EL JARDIN. TOCA Y ESCUCHA;1;14,96
07/06/2025;9788410299634;ISLA DE LA MUJER DORMIDA, LA;1;22,90
07/06/2025;9788478448975;LA IDEA DE EUROPA;1;10,90
07/06/2025;9788488342546;EL CAMALEÓN CAMALEÓNICO;1;6,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9788419437037;UN MOMENTO DE TERNURA Y DE PIEDAD;1;18,90
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9788433927460;VOLUMEN DEL TIEMPO I, EL;1;18,90
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
07/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
10/06/2025;9788448867638;POCOYÓ. RECOPILATORIO DE CUENTOS -1CUENTOS;1;12,95
10/06/2025;9788410496002;MUY CATASTRÓFICA VISITA AL ZOO, LA;1;19,90
10/06/2025;9788411070843;EL CASTILLO DE BARBAZUL;1;21,90
10/06/2025;9788413922065;CUANDO SEA GRANDE;1;12,95
10/06/2025;9788448863920;PEPPA Y LOS MOLINOS;1;15,95
10/06/2025;9788484645641;A QUE SABE LA LUNA?;1;16,50
10/06/2025;9788419437037;UN MOMENTO DE TERNURA Y DE PIEDAD;2;37,80
11/06/2025;9788419213297;CRÍAS DE ANIMALES: ASIA ¿QUIÉN SOY?;1;0,00
11/06/2025;9788419213297;CRÍAS DE ANIMALES: ASIA ¿QUIÉN SOY?;1;0,00
11/06/2025;9788491057116;UNA HABITACIÓN PROPIA;1;10,95
12/06/2025;9788419703484;HISTORIA DE LA BIBLIA;1;39,95
12/06/2025;9788419213297;CRÍAS DE ANIMALES: ASIA ¿QUIÉN SOY?;1;0,00
12/06/2025;9788467594454;POLICAN;2;29,00
12/06/2025;9788419437037;UN MOMENTO DE TERNURA Y DE PIEDAD;3;56,70
12/06/2025;9781948517768;SÓRDIDA TROPICAL;1;12,00
12/06/2025;9788418481789;SIMONE WEIL;1;11,90
13/06/2025;9788420461410;CUENTOS REUNIDOS;1;26,90
13/06/2025;9798281808422;VIENE REGANDO FLORES;1;12,00
13/06/2025;9798879149371;BARBEY DÁUREVILLY;1;12,00
13/06/2025;9780241979969;THE HOLOCAUST;1;6,00
13/06/2025;9798281808422;VIENE REGANDO FLORES;1;12,00
13/06/2025;9798281808422;VIENE REGANDO FLORES;1;12,00
14/06/2025;9788414338056;SUPERMAMÁS;1;12,95
14/06/2025;9788413183947;POLICAN. 4 POLICAN Y CHIKIGATO;1;14,50
17/06/2025;9788467519853;CPSE.HISTORIA DE UNA LATA;1;9,50
17/06/2025;9788401027123;DESPUÉS;1;20,90
17/06/2025;9788411488938;HISTORIA DE LAS CRUZADAS;1;49,95
17/06/2025;9788413627427;LA RISA EN LA ANTIGUA RO;1;22,95
18/06/2025;9788411827539;LF.26 EL MISTERIO DE TIGER BLACK;1;12,95
18/06/2025;9788419834096;NIÑA QUE AMABA LOS ELEFANTES,LA;1;16,90
18/06/2025;9788448856328;EL MUNDO DE LOS NADURINES;1;15,95
18/06/2025;9791399034202;ORIUNDA DE LA AUSENCIA;1;18,00
19/06/2025;9788420476841;UN ANIMAL SALVAJE;1;23,90
19/06/2025;9788413922188;ANIMALES FASCINANTES;1;16,95
19/06/2025;9788416126910;EL MAGO DE OZ;1;26,00
19/06/2025;9788418187247;ODISEA LIBERADA;1;26,90
19/06/2025;9788418481772;HANNAH ARENDT;1;11,90
19/06/2025;9788419261861;PAPEL CON MARCA DE AGUA;1;18,90
19/06/2025;9788418187087;CUADERNO BLACKIE BOOKS. VOL. 9;1;12,90
19/06/2025;9788419942319;LA PENÍNSULA DE LAS CASAS VACÍAS;1;26,00
19/06/2025;9788439745297;LOCO DE DIOS EN EL FIN DEL MUNDO. EL;1;23,90
20/06/2025;9788411821247;EL POLLO PEPE TIENE UNA NUEVA AMIGA;1;10,95
21/06/2025;9788411823944;POLICAN.12 EL PESTAZO ESCARLATA;1;14,50
21/06/2025;9788417977580;HAMNET 17ªED;1;23,95
21/06/2025;9788418935695;POEMAS INMORALES;1;23,00
21/06/2025;9788491994411;UNA VIOLENCIA INDOMITA;1;20,90
24/06/2025;9788491077411;POLICAN. 2 SITUACION DESESPERADA;1;14,50
24/06/2025;9788411003568;HISTORIAS DE GAZA;1;19,90
24/06/2025;9788432244964;LEONERA;1;19,00
24/06/2025;9788414335154;DIARIO DE UN UNICORNIO 6;1;11,95
24/06/2025;9788417074241;¡A DIBUJAR!;1;16,50
25/06/2025;9788408299592;POR SI UN DÍA VOLVEMOS;1;23,90
25/06/2025;9788413921082;BVB.165 LA COSA MAS DELICIOSA;1;8,50
25/06/2025;9788419172150;CUADERNO BLACKIE BOOKS VOL. 11;1;12,90
26/06/2025;9788469888711;D.UNIC. 3. VALENTIA LIN;1;11,95
26/06/2025;9788466345644;ADIOS MUCHACHOS;1;7,00
26/06/2025;9788490747308;LA GRIETA;1;19,95
26/06/2025;9788490747308;LA GRIETA;1;19,95
27/06/2025;9788412990300;NARCISOS;1;20,00
27/06/2025;9788411489645;BOUVARD Y PÉCUCHET;1;18,95
27/06/2025;9788484721871;ASIENTO EN LAS RUINAS;1;8,00
27/06/2025;9788412990300;NARCISOS;1;20,00
27/06/2025;9788411003575;IMAGINAR LA VIDA;1;21,90
27/06/2025;9788412990300;NARCISOS;1;20,00
27/06/2025;9788412990300;NARCISOS;1;20,00
27/06/2025;9788412990300;NARCISOS;1;20,00
27/06/2025;9788412990300;NARCISOS;1;20,00
28/06/2025;9788410323575;CUADERNO BLACKIE BOOKS. VOL. 14;1;12,90
28/06/2025;9788410073067;CIUDAD ME HAS VENCIDO;1;12,00
28/06/2025;9788466374767;GENTE NORMAL;1;12,95
01/07/2025;9788411823944;POLICAN.12 EL PESTAZO ESCARLATA;1;14,50
01/07/2025;9788410323575;CUADERNO BLACKIE BOOKS. VOL. 14;1;12,90
02/07/2025;9788439743484;ATUSPARIA;1;18,90
02/07/2025;9788432244254;ANIMALES DIFICILES;1;20,90
02/07/2025;9788410323575;CUADERNO BLACKIE BOOKS. VOL. 14;1;12,90
02/07/2025;9788411487566;LA IMPACIENCIA DEL CORAZ;1;29,95
02/07/2025;9788494090370;EL SILBIDO DEL ARQUERO;1;16,00
02/07/2025;9788410323575;CUADERNO BLACKIE BOOKS. VOL. 14;1;12,90
02/07/2025;9788419942319;LA PENÍNSULA DE LAS CASAS VACÍAS;1;26,00
03/07/2025;9788401034794;ALBATROS NEGRO, EL;1;23,90
04/07/2025;9788410025349;CUADERNO GOLDEN VOL. 4;1;12,90
04/07/2025;9788401036835;NO TENGAS MIEDO;1;24,90
04/07/2025;9788410496873;ESE IMBÉCIL VA A ESCRIBIR UNA NOVELA;1;19,90
04/07/2025;9788410415133;EL FINAL DEL BOSQUE;1;19,95
04/07/2025;9788411486910;EL LABERINTO DE LOS EXTR;1;23,95
04/07/2025;9788419620729;SUPERVIVIENTE DE AUSCHWITZ,EL 2ªED;1;12,90
04/07/2025;9788419441249;MIENTRAS RESPIRES, ESTÁS A TIEMPO;1;16,95
05/07/2025;9788439734468;CONVERSACIONES ENTRE AMIGOS;1;20,90
05/07/2025;9788411072281;HIJOS DE LA FABULA;1;20,90
05/07/2025;9788417977580;HAMNET 17ªED;1;23,95
08/07/2025;9788401035241;MI NOMBRE ES EMILIA DEL VALLE;1;22,90
09/07/2025;9788408299592;POR SI UN DÍA VOLVEMOS;1;23,90
09/07/2025;9788469620502;¿QUIERES TOCAR A UN MONS;1;13,50
