EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788466677929;TODO LO QUE HAY DETRÁS QUE NO SE VE: UN ENSAYO SOBRE LO QUE OCULTAN LAS REDES SO CIALES Y LOS INFLUENCERS / EVERYTHING THAT'S BEHIND THAT YOU CAN'T SEE;@SALSEOLOGIA;B;1;21,90;21,90
9788448865184;DRAGON DE LAS LETRAS 3, EL. UN DUENDE;210;BEASCOA;1;7,95;7,95
9789200041297;LA FAZ DEL OLVIDO;A. GRATIUS;LAURA TEDESCO;6;83,70;13,95
9788417266967;OTRA FIGURA DEL AGUA,LA;AA.VV;EDITORIAL RENACIMIENTO;1;17,90;17,90
9788416981182;MEXICO 1915-1920 UNA LITERATURA EN LA ENCRUCIJADA;AA.VV;EDITORIAL RENACIMIENTO;1;25,90;25,90
9788418387333;FORMAS DE LA REBELDIA EN LA LITERATURA HISPANICA;AA.VV;EDITORIAL RENACIMIENTO;1;19,90;19,90
9788419231581;EXILIO TEATRAL REPUBLICANO DE 1939 EN ARGENTINA, C;AA.VV;EDITORIAL RENACIMIENTO;1;34,90;34,90
9788415917069;LESA HUMANIDAD;AA.VV;KATZ BARPAL EDITORES SL;1;19,00;19,00
9788411780674;SINSOMBRERO Y UN NUEVO 27, LAS;AA.VV.;ALBA EDITORIAL;2;48,00;24,00
9788437640792;DE QUÉ HABLAMOS VIOLACIÓ;ABDULALI, SOHAILA;EDICIONES CÁTEDRA;1;19,95;19,95
9788075210418;AVENTURAS Y DESVENTURAS DEL SEÑOR MOSTAZA;ABEL FERNÁNDEZ-LARREA;FRA;5;64,50;12,90
9788411486330;EL ÚLTIMO ARGUMENTO DE L;ABERCROMBIE, JOE;ALIANZA EDITORIAL;1;14,90;14,90
9788411487061;LA SABIDURÍA DE LAS MULT;ABERCROMBIE, JOE;ALIANZA EDITORIAL;1;14,90;14,90
9788411487115;LA MEJOR VENGANZA;ABERCROMBIE, JOE;ALIANZA EDITORIAL;1;25,50;25,50
9788411489836;LOS DIABLOS;ABERCROMBIE, JOE;ALIANZA EDITORIAL;2;47,90;23,95
9788411071918;CÓMO CONOCÍ AL SEMBRADOR DE ÁRBOLES;ABILIO ESTÉVEZ;TUSQUETS EDITORES;1;19,90;19,90
9788483104873;TUYO ES EL REINO;ABILIO ESTÉVEZ;TUSQUETS EDITORES;2;19,90;9,95
9788483106464;MANUAL DE TENTACIONES;ABILIO ESTÉVEZ;TUSQUETS EDITORES;2;22,00;11,00
9788483109564;CEREMONIAS PARA ACTORES DESESPERADOS;ABILIO ESTÉVEZ;TUSQUETS EDITORES;2;20,00;10,00
9788490661758;ARCHIPIÉLAGOS;ABILIO ESTÉVEZ;TUSQUETS EDITORES;1;20,00;20,00
9798352567784;LA IMAGEN EN EL ESPEJO;ABILIO ESTÉVEZ;EDICIONES FURTIVAS;2;36,00;18,00
9788412902181;DEBAJO DE LA MESA;ABREU, JUAN;LADERA NORTE;2;45,80;22,90
9788410107625;HISTORIA DE UN MURO, LA;ABU SROUR, NASSER;GALAXIA GUTENBERG;1;21,50;21,50
9788437619958;FEMINISMO Y MODERNIDAD;ABU-LUGHOD, LILA;EDICIONES CÁTEDRA;1;30,95;30,95
9788491589983;LOS PUEBLOS SUMERGIDOS;ACEDO, PACO;ANAYA TOURING;1;24,95;24,95
9788417977757;LEJOS DE EGIPTO 5ªED;ACIMAN,ANDRE;LIBROS DEL ASTEROIDE;1;22,95;22,95
9780241501771;SHUTDOWN;ADAM TOOZE;LAURA TEDESCO;1;6,00;6,00
