EAN;Título;Autor;Editorial;Vendidos;Stock actual;Facturado;Hecho
'9788418342257;LOS NOMBRES PROPIOS;MARTA JIMÉNEZ SERRANO;EDITORIAL SEXTO PISO;17;4;338,30;
'9788419942319;LA PENÍNSULA DE LAS CASAS VACÍAS;UCLÉS, DAVID;SIRUELA;13;2;338,00;
'9791370090517;¿QUÉ PASA CON BAUM?;WOODY ALLEN;ALIANZA EDITORIAL;14;3;287,00;
'9798250180542;OLVIDOS Y OBITUARIOS;ORLANDO LUIS PARDO LAZO;AGNI EDICIONES;12;18;240,00;
'9791221099836;DE ABRAZOS Y OTRAS INQUIETUDES;RENÉ DE CÁRDENAS;RENÉ DE CÁRDENAS;15;5;240,00;
'9781948517775;EL TÚNEL AL FINAL DE LA LUZ;ENRIQUE DEL RISCO (ED);HYPERMEDIA EDICIONES;13;8;234,00;
'9798288505010;MI ÚLTIMO VIAJE EN LADA;EFRAÍN RODRÍGUEZ SANTANA;EDITORIAL CASA VACÍA;11;10;220,00;
'9798242919105;LOS MUDOS DE LA MONTAÑA;CAMILO VENEGAS;LIBROS DEL FOGONERO;14;2;210,00;
'9789493156234;LA CAPITAL DEL SOL;CÉSAR PÉREZ;BOKEH;10;5;200,00;
'9781948517768;SÓRDIDA TROPICAL;CARLOS D. LECHUGA;HYPERMEDIA EDICIONES;13;3;156,00;
'9788420453996;OXIGENO;MARTA JIMENEZ SERRANO;ALFAGUARA;8;4;151,20;
'9788437647982;"HIMMELWEG; EL JARDÍN QUE";MAYORGA, JUAN;EDICIONES CÁTEDRA;9;2;146,85;
'9791399128512;LA OSCURIDAD NO LLEGO SOLA 2VOL;;;3;13;144,72;
'9788412990300;NARCISOS;EDUARDO LÓPEZ-COLLAZO;HUSO EDITORIAL;7;3;140,00;
'9788410496002;MUY CATASTRÓFICA VISITA AL ZOO, LA;JOËL DICKER;ALFAGUARA;7;2;139,30;
'9788411582858;MI LIBRERÍA;DAISY BEATRICE;COMBEL EDITORIAL;6;1;137,40;
'9788416748679;TANGO SATÁNICO;KRASZNAHORKAI, LASZLO;ACANTILADO;5;1;116,00;
'9788410323575;CUADERNO BLACKIE BOOKS. VOL. 14;LÓPEZ VALLE, DANIEL/ FORTÚNEZ,;BLACKIE BOOKS;8;3;103,20;
'9788467594454;POLICAN;;EDICIONES SM;7;2;100,78;
'9788433929723;LIBRO DE LAS HERMANAS, EL;NOTHOMB, AMÉLIE;EDITORIAL ANAGRAMA;5;1;95,50;
'9788087656549;PRINCESA MIAMI;LEGNA RODRÍGUEZ IGLESIAS;EDICIONES INCUBADORA;7;2;90,30;
'9788433998972;VERDOR TERRIBLE, UN;LABATUT, BENJAMÍN;EDITORIAL ANAGRAMA;4;1;75,60;
'9788401036811;EL CÍRCULO DE LOS DÍAS;KEN FOLLETT;PLAZA&JANES;3;1;74,70;
'9788410552067;POLICAN.13 ERASE UNA VEZ JOSELITO;;EDICIONES SM;5;2;72,50;
'9798863547992;HISTORIA Y MASOQUISMO;ENRIQUE DEL RISCO;EDICIONES FURTIVAS;4;6;72,00;
'9788408299592;POR SI UN DÍA VOLVEMOS;MARÍA DUEÑAS;TUSQUETS EDITORES;3;1;71,70;
'9788418218576;MADRES E HIJOS;KALLIFATIDES, THEODOR;GALAXIA GUTENBERG;4;1;67,60;
'9788412850154;CINCO CRÓNICAS AMERICANAS;BURÓN, MANUEL;LADERA NORTE;3;2;59,70;
'9788432244582;EL BUEN MAL;SAMANTA SCHWEBLIN;TUSQUETS EDITORES;3;4;59,70;
'9788491077411;POLICAN. 2 SITUACION DESESPERADA;;EDICIONES SM;4;2;58,00;
'9788413183947;POLICAN. 4 POLICAN Y CHIKIGATO;;EDICIONES SM;4;1;58,00;
'9788411823944;POLICAN.12 EL PESTAZO ESCARLATA;;EDICIONES SM;4;1;58,00;
'9788432244766;PAJAROS EN LA BOCA;SAMANTA SCHWEBLIN;TUSQUETS EDITORES;3;4;57,53;
'9788419261335;NO TODO EL MUNDO 7ªED;JIMENEZ SERRANO, MARTA;EDITORIAL SEXTO PISO;3;5;56,70;
'9788433929686;OPOSICIÓN;MESA, SARA;EDITORIAL ANAGRAMA;3;1;56,70;
'9788426426277;PROMESA, LA;SILVINA OCAMPO;LUMEN;3;1;56,70;
'9788417977627;DIAS PERFECTOS,LOS 7ªED;BERGARECHE,JACOBO;LIBROS DEL ASTEROIDE;3;2;55,90;
'9788469643006;ÑAC-ÑAC QUIERE MERENDAR;YARLETT, EMMA;EDITORIAL BRUÑO;3;4;52,50;
'9788087656594;LA NADA CUBANA;KATHERINE PERZANT;EDICIONES INCUBADORA;4;2;51,60;
'9788494909504;LA AZOTEA;TRIAS PATRON, FERNANDA;EDITORIAL TRÁNSITO;3;7;49,86;
'9786076996461;CIELO RASO;KATHERINE BISQUET;RIALTA EDICIONES;3;2;49,50;
'9788411827652;ANP.EL COLE MOLA UN MONTON;;EDICIONES SM;4;1;47,80;
'9788413185507;POLICAN. 5 EL SE¥OR DE LAS PULGAS;PILKEY, DAV;EDICIONES SM;3;1;43,50;
'9788419102195;POLICAN.10 MADRES BORRASCOSAS;;EDICIONES SM;3;2;43,50;
'9788437608662;CAMPOS DE CASTILLA;MACHADO, ANTONIO;EDICIONES CÁTEDRA;4;1;42,00;
'9788491044505;NUEVE CUENTOS;SALINGER, J. D.;ALIANZA EDITORIAL;3;3;41,85;
'9788411209786;POLICAN.11 VEINTE MIL PULGAS DE VIAJE SU;;EDICIONES SM;3;2;41,50;
'9788417742485;COLORES;TULLET, HERVÉ;EDITORIAL KÓKINOS;3;2;37,50;
'9788413921419;CHI.1 EL CLUB DE COMIC DE CHIKIGATO;;EDICIONES SM;3;1;37,50;
'9798281808422;VIENE REGANDO FLORES;ROSIE INGUANZO;EDITORIAL CASA VACÍA;3;7;36,00;
'9788419102331;ANP.UNA AVENTURA SIN PANTALON;;EDICIONES SM;3;1;35,85;
'9788419102324;ANP.UNA CARRERA MUY MARRON;;EDICIONES SM;3;1;35,85;
