EAN;Título;Autor;Editorial;Ejemplares;PVP;Valor total;Hecho
'9788417555481;ZUM ZUM;"FERRADA ; PASCHETTA";A BUEN PASO;1;14,00;14,00;
'9788417555542;ONSEN 2ªED;MENA,PATO;A BUEN PASO;1;14,00;14,00;
'9788419008961;FAUSTO;GOETHE, JOHANN WOLFGANG;ABADA EDITORES;1;45,00;45,00;
'9788416160686;EL LIBRO DE LAS MARAVILLAS DEL MUNDO;POLO, MARCO;ABADA EDITORES;1;45,00;45,00;
'9788493065751;LA CARNE, LA MUERTE Y EL DIABLO EN LA LITERATURA R;PRAZ, MARIO;ACANTILADO;1;48,00;48,00;
'9788496834897;LOS RELATOS DEL PADRE BROWN;CHESTERTON, G.K.;ACANTILADO;1;40,00;40,00;
'9788419958204;EL BARÓN WENCKHEIM VUELVE A CASA;KRASZNAHORKAI, LASZLO;ACANTILADO;1;30,00;30,00;
'9788495359575;MELANCOLÍA DE LA RESISTENCIA;KRASZNAHORKAI, LASZLO;ACANTILADO;1;26,00;26,00;
'9788419036742;DICTADORES;DIKÖTTER, FRANK;ACANTILADO;1;24,00;24,00;
'9788492649051;GUERRA Y GUERRA;KRASZNAHORKAI, LASZLO;ACANTILADO;1;24,00;24,00;
'9788496136250;AUTOBIOGRAFÍA;CHESTERTON, G.K.;ACANTILADO;1;23,00;23,00;
'9788496489400;CARTAS A SU HIJO;LORD CHESTERFIELD;ACANTILADO;1;22,00;22,00;
'9788495359049;LA LUCHA CONTRA EL DEMONIO (HÖLDERLIN - KLEIST - N;ZWEIG, STEFAN;ACANTILADO;1;19,00;19,00;
'9788419036773;RELACIONES MISERICORDIOSAS;KRASZNAHORKAI, LASZLO;ACANTILADO;1;16,00;16,00;
'9788495359094;RELATOS REALES;CERCAS, JAVIER;ACANTILADO;1;14,00;14,00;
'9788417346607;EL CAMINO QUE VA A LA CIUDAD Y OTROS RELATOS;GINZBURG, NATALIA;ACANTILADO;1;14,00;14,00;
