EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9788419036971;LAS REINAS DEL MAR;WIESENTHAL, MAURICIO;ACANTILADO;2;26,00;24,70;52,00;
'9788419958884;LA VUELTA AL MUNDO EN OCHENTA JUEGOS;DU SAUTOY, MARCUS;ACANTILADO;2;25,00;23,75;50,00;
'9788417346652;ENCUENTROS CON LIBROS;ZWEIG, STEFAN;ACANTILADO;2;22,00;20,90;44,00;
'9788419036766;LA INVENCIÓN DEL NORTE;BRUNNER, BERND;ACANTILADO;2;20,00;19,00;40,00;
'9788419036735;DE DANTE A BORGES;MICÓ, JOSÉ MARÍA;ACANTILADO;2;18,00;17,10;36,00;
'9788419036858;"""TÚ ERES LA TAREA""";KAFKA, FRANZ;ACANTILADO;2;18,00;17,10;36,00;
'9788419036896;EL MURMULLO DEL AGUA;BELMONTE, MARIA;ACANTILADO;2;18,00;17,10;36,00;
'9788419958211;DIARIO DE BERLÍN;SCHÖNBERG, ARNOLD;ACANTILADO;2;16,00;15,20;32,00;
'9788419958198;UN MÉDICO RURAL;KAFKA, FRANZ;ACANTILADO;2;14,00;13,30;28,00;
'9788415689928;LA UTILIDAD DE LO INÚTIL;ORDINE, NUCCIO;ACANTILADO;2;12,00;11,40;24,00;
'9788419036469;EL AFFAIRE ARNOLFINI;JEAN-PHILIPPE, POSTEL;ACANTILADO;2;12,00;11,40;24,00;
'9788410138063;WELLNESS;HILL, NATHAN;ADN EDITORIAL GRUPO ANAYA;2;24,95;23,70;49,90;
'9788410138308;CUIDAR DE ELLA;ANDREA, JEAN-BAPTISTE;ADN EDITORIAL GRUPO ANAYA;2;23,95;22,75;47,90;
'9791387596217;BELLADONA;CONNELLY, MICHAEL;ADN EDITORIAL GRUPO ANAYA;2;23,50;22,32;47,00;
'9788410138353;EL ABOGADO DEL LINCOLN;CONNELLY, MICHAEL;ADN EDITORIAL GRUPO ANAYA;2;22,95;21,80;45,90;
'9788410138421;CATORCE DÍAS;"ATWOOD, MARGARET;PRESTON, DOUGLAS";ADN EDITORIAL GRUPO ANAYA;2;22,95;21,80;45,90;
'9788410138223;LA LISTA;ADEGOKE, YOMI;ADN EDITORIAL GRUPO ANAYA;2;21,95;20,85;43,90;
'9791387596118;ENTRE DOS AGUAS;HENRÍQUEZ, CRISTINA;ADN EDITORIAL GRUPO ANAYA;2;21,95;20,85;43,90;
'9788410138070;DE VUELO EN VUELO;HERRERA, JUAN;ADN EDITORIAL GRUPO ANAYA;2;20,95;19,90;41,90;
'9791387596026;INMANENCIA;LAPUENTE, VÍCTOR;ADN EDITORIAL GRUPO ANAYA;2;20,95;19,90;41,90;
'9788410138520;MEJOR CERCA DEL AGUA;BABOT, PAULA;ADN EDITORIAL GRUPO ANAYA;2;19,95;18,95;39,90;
'9788410138506;CAMA ADENTRO;BIANCA, LETICIA;ADN EDITORIAL GRUPO ANAYA;2;18,95;18,00;37,90;
'9788410138186;ANIMALITOS;ALBA MARTÍNEZ, LUCÍA;ADN EDITORIAL GRUPO ANAYA;2;17,95;17,05;35,90;
'9788411780674;SINSOMBRERO Y UN NUEVO 27, LAS;AA.VV.;ALBA EDITORIAL;2;24,00;22,80;48,00;
'9788411781275;MUERTE DE IVÁN ILICH, LA;TOLSTÓI, LEV. N;ALBA EDITORIAL;2;18,00;17,10;36,00;
'9788420439846;LA HIJA;SERGIO DEL MOLINO;ALFAGUARA;2;23,90;22,70;47,80;
'9791387846138;QUÉ QUEDARÁ DE NOSOTROS;EDUARDO SACHERI;ALFAGUARA;2;21,90;20,80;43,80;
'9791387846503;SI SINTIERAS BAJO LOS PIES LAS ESTRUCTURAS MAYORES;ROBERTO CHUIT ROGANOVICH;ALFAGUARA;2;21,90;20,80;43,80;
'9788410496835;LA MALDICIÓN DE RAMFIS;SERGIO RAMÍREZ;ALFAGUARA;2;20,90;19,85;41,80;
'9788420432793;PANTALEÓN Y LAS VISITADORAS;MARIO VARGAS LLOSA;ALFAGUARA;2;20,90;19,85;41,80;
'9788420437873;HISTORIA DE MAYTA;MARIO VARGAS LLOSA;ALFAGUARA;2;20,90;19,85;41,80;
'9788420477305;NOCHE NEGRA;PILAR QUINTANA;ALFAGUARA;2;19,90;18,90;39,80;
'9788410299474;TIM;RAY LORIGA;ALFAGUARA;2;18,90;17,95;37,80;
'9788420419459;THE NIGHT;"BLANCO CALDERON, RODRIGO;RODRIGO BLANCO CALDERÓN";ALFAGUARA;2;18,90;17,95;37,80;
'9788420439372;SIMPATÍA;RODRIGO BLANCO CALDERÓN;ALFAGUARA;2;18,90;17,95;37,80;
'9788420478784;TRANVÍA A LA MALVARROSA;VICENT, MANUEL;ALFAGUARA;2;17,90;17,00;35,80;
