EAN;Título;Autor;Editorial;Vendidos;Stock actual;Facturado;Pedir;Hecho
'9791387807900;PILDORAS ANTIEMETICAS;;;24;0;480,00;6;
'9788433980830;GRATITUDES, LAS;DE VIGAN, DELPHINE;EDITORIAL ANAGRAMA;22;1;437,80;5;
'9798244542844;NONADANADIE;;;20;0;400,00;5;
'9791399128536;LA OSCURIDAD NO LLEGO SOLA;;;5;0;247,01;2;
'9788087656631;PERRO CUBANO;;;19;0;244,46;5;
'9788417977580;HAMNET 17ªED;;;10;0;239,50;3;
'9788439745297;LOCO DE DIOS EN EL FIN DEL MUNDO. EL;JAVIER CERCAS;RANDOM HOUSE;10;1;239,00;2;
'9788410178595;COMERAS FLORES;SOLLA SOBRAL, LUCIA;LIBROS DEL ASTEROIDE;11;1;219,45;2;
'9788420479446;MISIÓN EN PARÍS;ARTURO PÉREZ-REVERTE;ALFAGUARA;9;1;197,10;2;
'9788412971880;LA CATEDRAL DE LA MUJER;CORO MONTANET,GLEYVIS;BAJAMAR EDITORES;10;1;150,00;2;
'9788410060593;TEBANAS;ÁLVARO TATO;EDICIONES ANTÍGONA;9;1;148,50;2;
'9788432249747;LA INTRIGA DEL FUNERAL INCOVENIENTE;;;7;0;145,26;2;
'9788401035241;MI NOMBRE ES EMILIA DEL VALLE;;;6;0;137,40;2;
'9788466683081;MENTIRA;;;5;0;123,26;2;
'9788419437037;UN MOMENTO DE TERNURA Y DE PIEDAD;;;6;0;113,40;2;
'9788410352018;HAN CANTADO BINGO;;;6;0;113,40;2;
'9788432242120;LA MALA COSTUMBRE;;;5;0;95,00;2;
'9788411077484;MAITE;;;4;0;91,60;1;
'9788433998934;POETA CHILENO;;;4;0;88,46;1;
'9788433998774;CANTO YO Y LA MONTAÑA BAILA;;;4;0;75,60;1;
'9788418037016;PROYECTO HAIL MARY                -;;;3;0;68,70;1;
'9788414340561;LOS UNICORNIOS(LEER A OS;;;4;0;67,80;1;
'9798293659876;EL DULCE ESFUERZO DE AMAR;;;4;0;63,60;1;
'9791399034271;LA ARQUITECTURA DEL AZAR;;;4;0;60,00;1;
'9788410309166;ENSAYOS SOBRE EL NARRADOR, LOS;;;3;0;60,00;1;
'9781948517102;EL COMPAÑERO QUE ME ATIENDE;;;3;0;60,00;1;
'9788410496316;AHORA Y EN LA HORA;;;3;0;59,70;1;
'9788410551848;LF.LA HIS DEL FUTBOL CONTADA POR LOS1 FUT;;;3;0;56,85;1;
'9788433977366;NADA SE OPONE A LA NOCHE - CM;;;4;0;56,60;1;
'9798298424721;EFLUVIOS;;;5;0;50,00;2;
'9788410476097;LA CASA VACIA;;;4;0;47,60;1;
'9788418782060;ALEN ALEN;;;3;0;45,00;1;
'9788466344357;AMIGA ESTUPENDA, LA (DOS AMIGAS 1);;;3;0;38,85;1;
'9788469663455;EL GRÚFALO.MINICUENTO;;;3;0;37,50;1;
'9788466356237;LA BUENA SUERTE;;;3;0;35,85;1;
'9788433960764;ESTUPOR Y TEMBLORES - CM;;;3;0;32,70;1;
'9788491073444;ILUMINATLAS;;;3;0;29,85;1;
'9788413182766;PGS.A VECES ESTOY PREOCUPADO;;;3;0;17,55;1;
'9788419213297;CRÍAS DE ANIMALES: ASIA ¿QUIÉN SOY?;;;3;0;0,00;1;
